NO	오일명(국문)	오일명(영문)	10ml	100ml	500ml	오일 설명
43	윈터그린	Wintergreen	2,500 	15,000 	25,000 	긴장 완화와 근육 이완에 도움. 메틸 살리실산 성분으로 관절염이나 근육통에 효과적이며, 희석 후 마사지 오일로 사용하면 피로 회복에 좋습니다. 주의: 피부 자극 가능성 있으니 패치 테스트 필수.
50	캠퍼	Camphor	2,500 	15,000 	25,000 	울혈 해소와 관절 편안함 지원. 호흡기 청소와 근육 통증 완화에 탁월하며, 디퓨저에 2-3방울 넣어 공기 정화로 활용하세요. 고농도 사용 시 피부 자극 주의.
80	카시아	Cassia	2,500 	15,000 	25,000 	대사 및 요로 건강 유지. 시나몬과 유사한 따뜻한 향으로 소화 촉진과 면역 강화에 도움을 주며, 차나 마사지 오일에 희석해 사용하면 효과적입니다. 임산부는 피하세요.
75	바닐라	Vanilla	2,500 	15,000 	38,000 	이완과 불안 완화 촉진. 달콤한 향으로 스트레스 감소와 수면 유도에 좋으며, 디퓨저나 베개 스프레이로 저녁 루틴에 추가하세요. 항산화 효과로 피부 케어에도 유용.
59	탄제린	Tangerine	2,500 	15,000 	39,000 	불안 완화와 소화 지원. 부드러운 시트러스 향으로 기분 고양과 소화불량 완화에 효과적이며, 목욕 오일에 5방울 희석해 이완하세요. 빛 민감성 유발 가능.
11	파인니들	Pine Needle	2,600 	15,600 	40,000 	호흡기 청소와 에너지 부스트. 신선한 소나무 향으로 기침 완화와 면역 강화에 좋으며, 디퓨저에 사용해 겨울철 호흡기 케어에 추천합니다. 피부 자극 테스트 필요.
9	유칼립투스	Eucalyptus	2,900 	17,400 	45,000 	호흡기 청소와 항균 효과. 축농증이나 감기에 탁월하며, 증기 흡입이나 디퓨저로 사용하세요. 희석 비율 1-2%로 피부 적용 시 주의.
18	레몬그라스	Lemongrass	2,900 	17,400 	45,000 	근육 이완과 항염증. 신선한 풀 향으로 두통 완화와 소화 촉진에 도움을 주며, 마사지 오일에 섞어 사용하세요. 피부 자극 가능성 있음.
1	레몬유칼립투스	Lemon Eucalyptus	3,500 	21,000 	55,000 	곤충 퇴치와 항균 효과. 모기 기피와 호흡기 청소에 탁월하며, 디퓨저나 희석 후 피부 스프레이로 사용하세요. 피부 자극 가능성 있으니 패치 테스트 필수.
47	클러브버드	Clove Bud	2,900 	17,400 	45,000 	치통 완화와 항균. 진저 같은 스파이시 향으로 소화와 면역 지원에 좋으며, 구강 세정제나 디퓨저로 활용하세요. 고농도 피하세요.
12	그레이프프룻	Grapefruit	3,400 	20,400 	49,000 	해독과 식욕 억제. 상큼한 향으로 셀룰라이트 감소와 에너지 부스트에 효과적이며, 셀룰라이트 마사지 오일로 추천. 빛 민감성 유발.
